,,,,,Grade 3,,,,,Grade 4,,,,,Grade 5,,,,,Grade 6,,,,,Grade 7,,,,,Grade 8,,,,,Grade 10,,,,,Grade 11,,,,,,,,,,,
County,County Name,AEA,District #,District Name,Not Proficient,Proficient,Total Tested,% Proficient,,Not Proficient,Proficient,Total Tested,% Proficient,,Not Proficient,Proficient,Total Tested,% Proficient,,Not Proficient,Proficient,Total Tested,% Proficient,,Not Proficient,Proficient,Total Tested,% Proficient,,Not Proficient,Proficient,Total Tested,% Proficient,,Not Proficient,Proficient,Total Tested,% Proficient,,Not Proficient,Proficient,Total Tested,% Proficient,,,,,,,,
42,Hardin,07,0009,AGWSR,6,35,41,85.4,,6,32,38,84.2,,3,43,46,93.5,,8,32,40,80.0,,1,40,41,97.6,,7,30,37,81.1,,1,25,26,96.2,,10,30,40,75.0,,,,,,,,
39,Guthrie,11,0018,Adair-Casey,1,15,16,93.8,,0,19,19,100.0,,2,13,15,86.7,,2,12,14,85.7,,9,47,56,83.9,,5,56,61,91.8,,0,0,0,,,0,0,0,,,,,,,,,
25,Dallas,11,0027,Adel DeSoto Minburn,22,121,143,84.6,,21,114,135,84.4,,19,120,139,86.3,,23,117,140,83.6,,10,115,125,92.0,,15,95,110,86.4,,8,110,118,93.2,,8,101,109,92.7,,,,,,,,
75,Plymouth,12,0063,Akron Westfield,1,34,35,97.1,,1,31,32,96.9,,9,36,45,80.0,,8,38,46,82.6,,5,30,35,85.7,,6,30,36,83.3,,3,37,40,92.5,,5,24,29,82.8,,,,,,,,
11,Buena Vista,05,0072,Albert City-Truesdale,1,12,13,92.3,,4,7,11,63.6,,3,10,13,76.9,,3,7,10,70.0,,0,0,0,,,0,0,0,,,0,0,0,,,0,0,0,,,,,,,,,
68,Monroe,15,0081,Albia,14,70,84,83.3,,20,75,95,78.9,,19,66,85,77.6,,17,73,90,81.1,,12,69,81,85.2,,17,73,90,81.1,,10,74,84,88.1,,14,57,71,80.3,,,,,,,,
57,Linn,10,0099,Alburnett,10,41,51,80.4,,10,35,45,77.8,,8,42,50,84.0,,12,34,46,73.9,,6,34,40,85.0,,7,39,46,84.8,,7,37,44,84.1,,9,40,49,81.6,,,,,,,,
42,Hardin,07,0108,Alden,4,25,29,86.2,,2,14,16,87.5,,4,12,16,75.0,,32,83,115,72.2,,0,0,0,,,0,0,0,,,0,0,0,,,0,0,0,,,,,,,,,
55,Kossuth,05,0126,Algona,17,75,92,81.5,,13,74,87,85.1,,24,78,102,76.5,,29,75,104,72.1,,17,88,105,83.8,,19,78,97,80.4,,8,89,97,91.8,,17,79,96,82.3,,,,,,,,
03,Allamakee,01,0135,Allamakee,10,53,63,84.1,,11,61,72,84.7,,10,64,74,86.5,,15,55,70,78.6,,1,65,66,98.5,,16,60,76,78.9,,9,66,75,88,,3,73,76,96.1,,,,,,,,
12,Butler,07,0153,North Butler,9,37,46,80.4,,10,47,57,82.5,,9,39,48,81.3,,11,35,46,76.1,,10,38,48,79.2,,3,46,49,93.9,,5,27,32,84.4,,5,46,51,90.2,,,,,,,,
11,Buena Vista,05,0171,Alta,8,26,34,76.5,,7,30,37,81.1,,0,0,0,,,0,0,0,,,0,0,0,,,0,0,0,,,12,43,55,78.2,,7,42,49,85.7,,,,,,,,
85,Story,11,0225,Ames,41,239,280,85.4,,40,264,304,86.8,,24,247,271,91.1,,42,235,277,84.8,,29,263,292,90.1,,50,274,324,84.6,,20,257,277,92.8,,22,278,300,92.7,,,,,,,,
53,Jones,10,0234,Anamosa,20,54,74,73.0,,29,53,82,64.6,,16,63,79,79.7,,22,73,95,76.8,,9,69,78,88.5,,20,77,97,79.4,,14,80,94,85.1,,18,69,87,79.3,,,,,,,,
49,Jackson,09,0243,Andrew,2,11,13,84.6,,0,17,17,100.0,,small N,small N,small N,small N,,5,8,13,61.5,,small N,small N,small N,small N,,3,9,12,75.0,,0,0,0,,,0,0,0,,,,,,,,,
77,Polk,11,0261,Ankeny,69,706,775,91.1,,73,738,811,91.0,,75,714,789,90.5,,101,746,847,88.1,,52,775,827,93.7,,103,706,809,87.3,,42,712,754,94.4,,50,649,699,92.8,,,,,,,,
12,Butler,07,0279,Aplington-Parkersburg,15,46,61,75.4,,13,49,62,79.0,,13,47,60,78.3,,10,41,51,80.4,,13,53,66,80.3,,14,37,51,72.5,,12,61,73,83.6,,7,49,56,87.5,,,,,,,,
32,Emmet,05,0333,North Union,3,23,26,88.5,,1,23,24,95.8,,10,18,28,64.3,,0,0,0,,,0,0,0,,,0,0,0,,,8,44,52,84.6,,12,25,37,67.6,,,,,,,,
24,Crawford,12,0355,Ar-We-Va,2,10,12,83.3,,0,17,17,100.0,,8,9,17,52.9,,small N,small N,small N,small N,,2,11,13,84.6,,2,11,13,84.6,,3,13,16,81.3,,1,11,12,91.7,,,,,,,,
15,Cass,13,0387,Atlantic,9,86,95,90.5,,16,87,103,84.5,,21,92,113,81.4,,17,77,94,81.9,,16,97,113,85.8,,11,69,80,86.3,,7,89,96,92.7,,10,71,81,87.7,,,,,,,,
05,Audubon,11,0414,Audubon,9,30,39,76.9,,3,34,37,91.9,,7,28,35,80.0,,3,29,32,90.6,,3,30,33,90.9,,3,31,34,91.2,,6,31,37,83.8,,0,27,27,100.0,,,,,,,,
18,Cherokee,12,0423,Aurelia,5,10,15,66.7,,1,13,14,92.9,,18,35,53,66.0,,14,28,42,66.7,,4,51,55,92.7,,4,41,45,91.1,,0,0,0,,,0,0,0,,,,,,,,,
78,Pottawattamie,13,0441,AHSTW,14,32,46,69.6,,12,37,49,75.5,,12,34,46,73.9,,4,40,44,90.9,,7,31,38,81.6,,6,37,43,86.0,,3,46,49,93.9,,8,38,46,82.6,,,,,,,,
85,Story,11,0472,Ballard,16,113,129,87.6,,24,87,111,78.4,,15,106,121,87.6,,16,86,102,84.3,,22,84,106,79.2,,29,83,112,74.1,,20,112,132,84.8,,10,105,115,91.3,,,,,,,,
47,Ida,12,0504,Battle Creek-Ida Grove,0,37,37,100.0,,10,40,50,80.0,,8,41,49,83.7,,0,0,0,,,0,0,0,,,0,0,0,,,8,73,81,90.1,,9,52,61,85.2,,,,,,,,
50,Jasper,11,0513,Baxter,3,17,20,85.0,,8,21,29,72.4,,14,16,30,53.3,,14,19,33,57.6,,10,30,40,75.0,,4,15,19,78.9,,6,26,32,81.3,,4,28,32,87.5,,,,,,,,
38,Grundy,07,0540,BCLUW,11,24,35,68.6,,6,34,40,85.0,,13,37,50,74.0,,13,32,45,71.1,,4,37,41,90.2,,2,44,46,95.7,,5,29,34,85.3,,12,46,58,79.3,,,,,,,,
87,Taylor,13,0549,Bedford,3,21,24,87.5,,2,31,33,93.9,,3,25,28,89.3,,4,34,38,89.5,,3,23,26,88.5,,1,25,26,96.2,,4,27,31,87.1,,2,23,25,92.0,,,,,,,,
06,Benton,10,0576,Belle Plaine,5,28,33,84.8,,2,22,24,91.7,,12,22,34,64.7,,6,19,25,76.0,,10,29,39,74.4,,13,32,45,71.1,,11,28,39,71.8,,4,42,46,91.3,,,,,,,,
49,Jackson,09,0585,Bellevue,1,35,36,97.2,,3,40,43,93.0,,4,34,38,89.5,,11,42,53,79.2,,6,39,45,86.7,,14,34,48,70.8,,13,51,64,79.7,,7,54,61,88.5,,,,,,,,
99,Wright,07,0594,Belmond-Klemme,12,29,41,70.7,,13,51,64,79.7,,18,32,50,64.0,,19,22,41,53.7,,11,43,54,79.6,,10,47,57,82.5,,5,36,41,87.8,,5,27,32,84.4,,,,,,,,
16,Cedar,09,0603,Bennett,3,10,13,76.9,,small N,small N,small N,small N,,small N,small N,small N,small N,,small N,small N,small N,small N,,0,0,0,,,0,0,0,,,0,0,0,,,0,0,0,,,,,,,,,
06,Benton,10,0609,Benton,21,75,96,78.1,,18,82,100,82.0,,12,83,95,87.4,,26,81,107,75.7,,16,82,98,83.7,,21,96,117,82.1,,10,82,92,89.1,,5,101,106,95.3,,,,,,,,
82,Scott,09,0621,Bettendorf,34,258,292,88.4,,25,277,302,91.7,,35,247,282,87.6,,56,255,311,82.0,,61,283,344,82.3,,80,262,342,76.6,,45,305,350,87.1,,30,321,351,91.5,,,,,,,,
90,Wapello,15,0657,Eddyville-Blakesburg-,14,51,65,78.5,,17,43,60,71.7,,25,38,63,60.3,,13,54,67,80.6,,10,49,59,83.1,,23,48,71,67.6,,14,48,62,77.4,,11,67,78,85.9,,,,,,,,
77,Polk,11,0720,Bondurant-Farrar,31,139,170,81.8,,35,123,158,77.8,,22,143,165,86.7,,28,128,156,82.1,,16,136,152,89.5,,21,111,132,84.1,,11,123,134,91.8,,20,96,116,82.8,,,,,,,,
08,Boone,11,0729,Boone,29,85,114,74.6,,25,102,127,80.3,,39,87,126,69.0,,44,80,124,64.5,,17,105,122,86.1,,33,103,136,75.7,,18,120,138,87,,24,121,145,83.4,,,,,,,,
84,Sioux,12,0747,Boyden-Hull,10,26,36,72.2,,9,27,36,75.0,,12,27,39,69.2,,7,43,50,86.0,,8,44,52,84.6,,7,42,49,85.7,,4,43,47,91.5,,4,44,48,91.7,,,,,,,,
41,Hancock,07,0819,West Hancock,7,39,46,84.8,,6,27,33,81.8,,5,31,36,86.1,,3,41,44,93.2,,2,38,40,95.0,,10,31,41,75.6,,3,41,44,93.2,,2,29,31,93.5,,,,,,,,
79,Poweshiek,07,0846,Brooklyn-Guernsey-Malcom,4,32,36,88.9,,1,46,47,97.9,,7,28,35,80.0,,1,35,36,97.2,,5,37,42,88.1,,10,25,35,71.4,,2,37,39,94.9,,6,38,44,86.4,,,,,,,,
95,Winnebago,07,0873,North Iowa,7,34,41,82.9,,2,26,28,92.9,,9,19,28,67.9,,13,17,30,56.7,,12,17,29,58.6,,9,22,31,71.0,,9,26,35,74.3,,11,21,32,65.6,,,,,,,,
29,Des Moines,15,0882,Burlington,62,153,215,71.2,,99,122,221,55.2,,110,137,247,55.5,,89,132,221,59.7,,62,136,198,68.7,,88,135,223,60.5,,83,158,241,65.6,,81,113,194,58.2,,,,,,,,
15,Cass,13,0914,CAM,9,32,41,78.0,,12,23,35,65.7,,16,36,52,69.2,,11,31,42,73.8,,7,39,46,84.8,,18,37,55,67.3,,19,47,66,71.2,,15,62,77,80.5,,,,,,,,
35,Franklin,07,0916,CAL,7,5,12,41.7,,small N,small N,small N,small N,,4,12,16,75.0,,4,13,17,76.5,,3,12,15,80.0,,7,8,15,53.3,,1,11,12,91.7,,3,8,11,72.7,,,,,,,,
23,Clinton,09,0918,Calamus-Wheatland,4,30,34,88.2,,4,38,42,90.5,,8,25,33,75.8,,8,27,35,77.1,,5,26,31,83.9,,9,19,28,67.9,,4,32,36,88.9,,3,40,43,93.0,,,,,,,,
23,Clinton,09,0936,Camanche,16,59,75,78.7,,10,47,57,82.5,,15,58,73,79.5,,20,44,64,68.8,,14,67,81,82.7,,25,42,67,62.7,,21,51,72,70.8,,6,58,64,90.6,,,,,,,,
90,Wapello,15,0977,Cardinal,9,43,52,82.7,,18,42,60,70.0,,16,40,56,71.4,,15,39,54,72.2,,0,0,0,,,0,0,0,,,20,35,55,63.6,,12,29,41,70.7,,,,,,,,
91,Warren,11,0981,Carlisle,26,108,134,80.6,,23,146,169,86.4,,44,117,161,72.7,,35,105,140,75.0,,25,125,150,83.3,,27,109,136,80.1,,20,123,143,86,,25,132,157,84.1,,,,,,,,
14,Carroll,11,0999,Carroll,25,93,118,78.8,,22,114,136,83.8,,20,105,125,84.0,,15,116,131,88.5,,12,117,129,90.7,,18,94,112,83.9,,9,95,104,91.3,,13,86,99,86.9,,,,,,,,
07,Black Hawk,07,1044,Cedar Falls,40,327,367,89.1,,56,322,378,85.2,,63,347,410,84.6,,54,319,373,85.5,,26,348,374,93.0,,47,354,401,88.3,,26,325,351,92.6,,44,292,336,86.9,,,,,,,,
57,Linn,10,1053,Cedar Rapids,285,688,973,70.7,,320,677,997,67.9,,297,685,982,69.8,,344,599,943,63.5,,278,676,954,70.9,,352,611,963,63.4,,226,812,1038,78.2,,207,773,980,78.9,,,,,,,,
57,Linn,10,1062,Center Point-Urbana,13,96,109,88.1,,30,71,101,70.3,,29,82,111,73.9,,13,107,120,89.2,,15,93,108,86.1,,6,100,106,94.3,,11,118,129,91.5,,2,99,101,98.0,,,,,,,,
04,Appanoose,15,1071,Centerville,17,76,93,81.7,,27,73,100,73.0,,23,63,86,73.3,,31,58,89,65.2,,23,70,93,75.3,,26,62,88,70.5,,19,79,98,80.6,,15,63,78,80.8,,,,,,,,
56,Lee,15,1079,Central Lee,15,65,80,81.3,,19,58,77,75.3,,15,74,89,83.1,,21,48,69,69.6,,9,73,82,89.0,,24,53,77,68.8,,14,57,71,80.3,,11,64,75,85.3,,,,,,,,
22,Clayton,01,1080,Central,2,17,19,89.5,,6,28,34,82.4,,14,18,32,56.3,,12,20,32,62.5,,6,27,33,81.8,,9,22,31,71.0,,1,28,29,96.6,,8,20,28,71.4,,,,,,,,
23,Clinton,09,1082,Central DeWitt,19,72,91,79.1,,19,81,100,81.0,,19,75,94,79.8,,20,73,93,78.5,,10,95,105,90.5,,18,84,102,82.4,,11,119,130,91.5,,14,98,112,87.5,,,,,,,,
57,Linn,10,1089,Central City,2,19,21,90.5,,7,25,32,78.1,,6,26,32,81.3,,10,24,34,70.6,,9,20,29,69.0,,10,20,30,66.7,,13,18,31,58.1,,7,26,33,78.8,,,,,,,,
27,Decatur,13,1093,Central Decatur,10,40,50,80.0,,14,36,50,72.0,,11,49,60,81.7,,11,35,46,76.1,,9,51,60,85.0,,7,45,52,86.5,,6,24,30,80,,10,34,44,77.3,,,,,,,,
60,Lyon,12,1095,Central Lyon,8,47,55,85.5,,13,39,52,75.0,,11,48,59,81.4,,15,44,59,74.6,,7,52,59,88.1,,6,39,45,86.7,,6,46,52,88.5,,3,40,43,93.0,,,,,,,,
59,Lucas,15,1107,Chariton,18,59,77,76.6,,23,64,87,73.6,,23,72,95,75.8,,26,61,87,70.1,,15,67,82,81.7,,35,47,82,57.3,,20,70,90,77.8,,13,72,85,84.7,,,,,,,,
34,Floyd,07,1116,Charles City,33,51,84,60.7,,30,69,99,69.7,,40,66,106,62.3,,42,62,104,59.6,,40,65,105,61.9,,44,66,110,60.0,,34,89,123,72.4,,18,77,95,81.1,,,,,,,,
24,Crawford,12,1134,Charter Oak-Ute,2,16,18,88.9,,5,11,16,68.8,,3,24,27,88.9,,11,5,16,31.3,,4,8,12,66.7,,7,9,16,56.3,,0,0,0,,,0,0,0,,,,,,,,,
18,Cherokee,12,1152,Cherokee,20,64,84,76.2,,21,57,78,73.1,,20,51,71,71.8,,20,57,77,74.0,,14,67,81,82.7,,19,55,74,74.3,,14,54,68,79.4,,2,58,60,96.7,,,,,,,,
73,Page,13,1197,Clarinda,12,61,73,83.6,,15,63,78,80.8,,31,39,70,55.7,,32,53,85,62.4,,12,65,77,84.4,,15,51,66,77.3,,8,56,64,87.5,,7,49,56,87.5,,,,,,,,
99,Wright,05,1206,Clarion-Goldfield-Dows,10,50,60,83.3,,22,45,67,67.2,,16,48,64,75.0,,9,58,67,86.6,,10,51,61,83.6,,8,52,60,86.7,,7,46,53,86.8,,15,53,68,77.9,,,,,,,,
20,Clarke,13,1211,Clarke,37,71,108,65.7,,28,73,101,72.3,,36,63,99,63.6,,31,74,105,70.5,,29,59,88,67.0,,21,68,89,76.4,,21,61,82,74.4,,17,70,87,80.5,,,,,,,,
12,Butler,07,1215,Clarksville,2,16,18,88.9,,2,20,22,90.9,,7,19,26,73.1,,7,17,24,70.8,,1,17,18,94.4,,5,15,20,75.0,,5,18,23,78.3,,3,17,20,85.0,,,,,,,,
21,Clay,05,1218,Clay Central-Everly,1,15,16,93.8,,5,12,17,70.6,,1,14,15,93.3,,2,12,14,85.7,,3,12,15,80.0,,5,19,24,79.2,,1,11,12,91.7,,6,19,25,76.0,,,,,,,,
52,Johnson,10,1221,Clear Creek Amana,26,120,146,82.2,,26,134,160,83.8,,30,138,168,82.1,,27,130,157,82.8,,21,125,146,85.6,,35,114,149,76.5,,13,104,117,88.9,,26,106,132,80.3,,,,,,,,
17,Cerro Gordo,07,1233,Clear Lake,19,75,94,79.8,,11,87,98,88.8,,14,81,95,85.3,,9,83,92,90.2,,8,86,94,91.5,,20,63,83,75.9,,11,80,91,87.9,,9,76,85,89.4,,,,,,,,
23,Clinton,09,1278,Clinton,33,187,220,85.0,,41,159,200,79.5,,49,172,221,77.8,,55,175,230,76.1,,28,184,212,86.8,,63,134,197,68.0,,42,170,212,80.2,,53,153,206,74.3,,,,,,,,
50,Jasper,11,1332,Colfax-Mingo,10,22,32,68.8,,15,34,49,69.4,,14,37,51,72.5,,9,41,50,82.0,,7,34,41,82.9,,14,31,45,68.9,,14,52,66,78.8,,5,42,47,89.4,,,,,,,,
57,Linn,10,1337,College,97,302,399,75.7,,83,286,369,77.5,,114,273,387,70.5,,125,299,424,70.5,,87,321,408,78.7,,96,312,408,76.5,,52,315,367,85.8,,64,258,322,80.1,,,,,,,,
85,Story,11,1350,Collins-Maxwell,9,21,30,70.0,,9,22,31,71.0,,7,14,21,66.7,,17,20,37,54.1,,5,19,24,79.2,,4,22,26,84.6,,6,25,31,80.6,,0,27,27,100.0,,,,,,,,
85,Story,11,1359,Colo-NESCO,3,15,18,83.3,,4,24,28,85.7,,4,28,32,87.5,,6,24,30,80.0,,6,21,27,77.8,,14,24,38,63.2,,11,24,35,68.6,,5,26,31,83.9,,,,,,,,
58,Louisa,09,1368,Columbus,14,31,45,68.9,,16,26,42,61.9,,26,25,51,49.0,,22,24,46,52.2,,17,21,38,55.3,,24,17,41,41.5,,23,22,45,48.9,,13,29,42,69.0,,,,,,,,
14,Carroll,11,1413,Coon Rapids-Bayard,5,24,29,82.8,,7,28,35,80.0,,4,19,23,82.6,,3,18,21,85.7,,4,18,22,81.8,,7,24,31,77.4,,4,23,27,85.2,,3,23,26,88.5,,,,,,,,
02,Adams,13,1431,Corning,2,24,26,92.3,,8,22,30,73.3,,9,28,37,75.7,,0,0,0,,,0,0,0,,,0,0,0,,,17,28,45,62.2,,4,31,35,88.6,,,,,,,,
78,Pottawattamie,13,1476,Council Bluffs,184,393,577,68.1,,198,361,559,64.6,,182,378,560,67.5,,236,377,613,61.5,,156,439,595,73.8,,180,356,536,66.4,,170,385,555,69.4,,150,326,476,68.5,,,,,,,,
88,Union,13,1503,Creston,41,54,95,56.8,,21,79,100,79.0,,36,63,99,63.6,,33,70,103,68.0,,11,94,105,89.5,,28,61,89,68.5,,22,71,93,76.3,,15,78,93,83.9,,,,,,,,
25,Dallas,11,1576,Dallas Center-Grimes,22,215,237,90.7,,25,184,209,88.0,,25,187,212,88.2,,13,208,221,94.1,,11,193,204,94.6,,18,165,183,90.2,,30,154,184,83.7,,25,151,176,85.8,,,,,,,,
29,Des Moines,15,1602,Danville,0,42,42,100.0,,6,39,45,86.7,,9,42,51,82.4,,11,50,61,82.0,,5,35,40,87.5,,3,40,43,93.0,,8,43,51,84.3,,11,37,48,77.1,,,,,,,,
82,Scott,09,1611,Davenport,291,589,880,66.9,,348,601,949,63.3,,370,569,939,60.6,,326,511,837,61.1,,267,640,907,70.6,,377,541,918,58.9,,281,632,913,69.2,,268,614,882,69.6,,,,,,,,
26,Davis,15,1619,Davis County,24,60,84,71.4,,23,75,98,76.5,,32,65,97,67.0,,35,66,101,65.3,,25,79,104,76.0,,31,51,82,62.2,,21,57,78,73.1,,10,73,83,88.0,,,,,,,,
96,Winneshiek,01,1638,Decorah Community,12,89,101,88.1,,10,98,108,90.7,,22,80,102,78.4,,10,93,103,90.3,,9,107,116,92.2,,20,112,132,84.8,,10,126,136,92.6,,5,127,132,96.2,,,,,,,,
23,Clinton,09,1675,Delwood,1,12,13,92.3,,0,19,19,100.0,,0,15,15,100.0,,2,26,28,92.9,,0,0,0,,,0,0,0,,,0,0,0,,,0,0,0,,,,,,,,,
24,Crawford,12,1701,Denison,53,87,140,62.1,,34,111,145,76.6,,24,116,140,82.9,,36,95,131,72.5,,38,113,151,74.8,,43,121,164,73.8,,34,152,186,81.7,,26,130,156,83.3,,,,,,,,
09,Bremer,07,1719,Denver,5,49,54,90.7,,4,54,58,93.1,,0,62,62,100.0,,3,56,59,94.9,,0,59,59,100.0,,5,54,59,91.5,,2,49,51,96.1,,0,51,51,100.0,,,,,,,,
77,Polk,11,1737,Des Moines Independent,830,"1,216","2,046",59.4,,937,"1,180","2,117",55.7,,988,"1,220","2,208",55.3,,847,"1,027","1,874",54.8,,681,"1,288","1,969",65.4,,856,"1,132","1,988",56.9,,711,1199,1910,62.8,,712,"1,030","1,742",59.1,,,,,,,,
80,Ringgold,13,1782,Diagonal,small N,small N,small N,small N,,small N,small N,small N,small N,,small N,small N,small N,small N,,3,8,11,72.7,,1,10,11,90.9,,small N,small N,small N,small N,,small N,small N,small N,small N,,small N,small N,small N,small N,,,,,,,,
38,Grundy,07,1791,Dike-New Hartford,5,36,41,87.8,,8,56,64,87.5,,11,66,77,85.7,,8,54,62,87.1,,9,48,57,84.2,,10,53,63,84.1,,7,53,60,88.3,,7,56,63,88.9,,,,,,,,
31,Dubuque,01,1863,Dubuque,173,487,660,73.8,,192,526,718,73.3,,213,527,740,71.2,,194,459,653,70.3,,163,550,713,77.1,,179,501,680,73.7,,141,585,726,80.6,,114,589,703,83.8,,,,,,,,
07,Black Hawk,07,1908,Dunkerton,7,12,19,63.2,,5,25,30,83.3,,4,30,34,88.2,,10,18,28,64.3,,7,22,29,75.9,,10,27,37,73.0,,9,20,29,69,,8,20,28,71.4,,,,,,,,
43,Harrison,13,1917,Boyer Valley,5,22,27,81.5,,8,25,33,75.8,,4,23,27,85.2,,2,27,29,93.1,,8,21,29,72.4,,9,19,28,67.9,,3,26,29,89.7,,3,26,29,89.7,,,,,,,,
16,Cedar,09,1926,Durant,10,31,41,75.6,,12,28,40,70.0,,15,33,48,68.8,,17,32,49,65.3,,19,31,50,62.0,,13,47,60,78.3,,12,35,47,74.5,,5,42,47,89.4,,,,,,,,
99,Wright,05,1944,Eagle Grove,11,41,52,78.8,,16,47,63,74.6,,21,51,72,70.8,,19,44,63,69.8,,8,44,52,84.6,,13,39,52,75.0,,11,51,62,82.3,,12,42,54,77.8,,,,,,,,
61,Madison,11,1953,Earlham,4,32,36,88.9,,7,46,53,86.8,,2,30,32,93.8,,3,36,39,92.3,,0,28,28,100.0,,9,40,49,81.6,,12,38,50,76,,6,38,44,86.4,,,,,,,,
10,Buchanan,07,1963,East Buchanan,5,26,31,83.9,,12,31,43,72.1,,8,37,45,82.2,,18,31,49,63.3,,10,29,39,74.4,,7,31,38,81.6,,5,37,42,88.1,,4,29,33,87.9,,,,,,,,
49,Jackson,09,1965,Easton Valley,10,22,32,68.8,,6,23,29,79.3,,6,23,29,79.3,,10,31,41,75.6,,3,36,39,92.3,,7,33,40,82.5,,4,28,32,87.5,,4,30,34,88.2,,,,,,,,
64,Marshall,07,1968,East Marshall,11,46,57,80.7,,8,52,60,86.7,,9,52,61,85.2,,12,39,51,76.5,,5,49,54,90.7,,7,55,62,88.7,,7,42,49,85.7,,9,44,53,83.0,,,,,,,,
88,Union,13,1970,East Union,10,21,31,67.7,,11,32,43,74.4,,9,27,36,75.0,,16,21,37,56.8,,6,27,33,81.8,,15,24,39,61.5,,9,25,34,73.5,,10,17,27,63.0,,,,,,,,
03,Allamakee,01,1972,Eastern Allamakee,2,13,15,86.7,,2,22,24,91.7,,2,19,21,90.5,,2,23,25,92.0,,7,14,21,66.7,,4,28,32,87.5,,0,39,39,100,,1,24,25,96.0,,,,,,,,
97,Woodbury,12,1975,River Valley,8,18,26,69.2,,9,21,30,70.0,,10,18,28,64.3,,8,19,27,70.4,,6,26,32,81.3,,7,22,29,75.9,,3,23,26,88.5,,7,26,33,78.8,,,,,,,,
28,Delaware,01,1989,Edgewood-Colesburg,6,27,33,81.8,,6,30,36,83.3,,14,22,36,61.1,,11,21,32,65.6,,9,26,35,74.3,,9,38,47,80.9,,4,27,31,87.1,,4,32,36,88.9,,,,,,,,
42,Hardin,07,2007,Eldora-New Providence,15,35,50,70.0,,5,33,38,86.8,,6,21,27,77.8,,0,0,0,,,0,0,0,,,0,0,0,,,13,45,58,77.6,,10,63,73,86.3,,,,,,,,
74,Palo Alto,05,2088,Emmetsburg,7,38,45,84.4,,12,33,45,73.3,,19,24,43,55.8,,36,33,69,47.8,,10,44,54,81.5,,16,38,54,70.4,,6,58,64,90.6,,7,44,51,86.3,,,,,,,,
48,Iowa,10,2097,English Valleys,10,24,34,70.6,,8,17,25,68.0,,6,22,28,78.6,,5,27,32,84.4,,8,26,34,76.5,,15,27,42,64.3,,3,26,29,89.7,,7,29,36,80.6,,,,,,,,
73,Page,13,2113,Essex,3,11,14,78.6,,3,8,11,72.7,,5,5,10,50.0,,5,7,12,58.3,,2,13,15,86.7,,1,11,12,91.7,,2,10,12,83.3,,1,16,17,94.1,,,,,,,,
32,Emmet,05,2124,Estherville Lincoln,32,58,90,64.4,,33,56,89,62.9,,33,54,87,62.1,,25,72,97,74.2,,26,63,89,70.8,,26,82,108,75.9,,13,71,84,84.5,,17,61,78,78.2,,,,,,,,
